Epoch,Motif,Distance
1,1,2192.7391307675807
1,1,2619.82327094363
1,1,2526.849192899815
1,1,1271.5320225627297
1,1,852.3023489386543
1,1,1120.2687416203034
1,1,1100.8368869705846
1,1,988.2054931747356
1,1,733.5524522246483
1,1,785.076996447063
1,1,inf
1,1,inf
1,1,1052.8283815358548
1,1,2354.828059222042
1,1,2460.1221310947844
1,1,1275.9129798358692
1,1,484.220809222136
1,1,1142.4290328674906
1,1,1163.0815116545723
1,1,551.1068712775553
1,1,461.8412122124352
1,1,418.90040136606274
1,1,inf
1,1,inf
1,1,1317.415317971381
1,1,2511.341403620449
1,1,1424.844970643702
1,1,1156.867153219839
1,1,1271.9292417734923
1,1,1358.5404901686716
1,1,1326.8568713710204
1,1,1004.016350525629
1,1,1333.5178881926868
1,1,inf
1,1,inf
1,1,1449.5668786296535
1,1,1490.0814459539358
1,1,860.9010793680254
1,1,1320.7299324054886
1,1,1282.3061887642764
1,1,1159.2644708095086
1,1,830.1377973036808
1,1,840.0376058244171
1,1,inf
1,1,inf
1,1,1598.3017747173326
1,1,563.0710539352783
1,1,1489.3771610271544
1,1,1440.9347309470638
1,1,459.4868648341083
1,1,558.1070508097655
1,1,357.8031211243526
1,1,inf
1,1,inf
1,1,1912.4699476965084
1,1,1244.050162266887
1,1,1232.4035081337408
1,1,405.3186152529951
