Epoch,Motif,Distance
1,0,2079.8363447363427
1,0,1076.7438554838684
1,0,3764.0638721734344
1,0,921.3595835713489
1,0,1119.3748701188158
1,0,1617.0708395233096
1,0,inf
1,0,2236.8762570339527
1,0,2338.350313907597
1,0,2127.039446925434
1,0,1136.3213611649849
1,0,1202.077656501751
1,0,2907.627615644294
1,0,3792.1235294180124
1,0,inf
1,0,1948.3650620556361
1,0,1331.3264506822256
1,0,3255.1078674725723
1,0,1227.0090916179415
1,0,1335.4796205920184
1,0,1772.1795172078187
1,0,inf
1,0,2562.9369585706118
1,0,2475.6997398522094
1,0,2438.545965559694
1,0,1985.2953975700425
1,0,2470.992096811498
1,0,3249.814540926149
1,0,inf
1,0,2188.106249250208
1,0,1951.6843078901861
1,0,3508.3345836336953
1,0,2243.1385403424
1,0,2225.4089212594813
1,0,2203.573137087945
1,0,inf
1,0,2516.1270810344695
1,0,2496.5365119829635
1,0,1972.673498609615
1,0,2521.355641623254
1,0,3447.440906742414
1,0,inf
1,0,2248.0079284609606
1,0,3073.3025204397163
1,0,3447.943775833799
1,0,2539.429229224886
1,0,2391.133385607615
1,0,2351.034563973081
1,0,inf
1,0,1891.0632072225765
1,0,1832.902189235076
1,0,2326.616035078117
1,0,3101.1101447075616
1,0,inf
1,0,1989.8153882527374
1,0,2431.6144348991197
1,0,2798.244636085404
1,0,2112.5194185093546
1,0,2034.0783353441445
1,0,1943.733095150753
1,0,inf
1,0,663.3288756458783
1,0,2910.0141214034647
1,0,2908.5691337323724
1,0,inf
1,0,1823.445039967407
1,0,685.7228246429662
1,0,3064.770988892232
1,0,967.3888322546401
1,0,1084.5565444324648
1,0,1558.3555114364674
1,0,inf
1,0,2428.511694518896
1,0,2853.4670534426004
1,0,inf
1,0,1705.6526605327851
1,0,915.81262382809
1,0,2900.6352786019506
1,0,1045.6553799335536
1,0,877.858215666952
1,0,1194.5335249158254
1,0,inf
1,0,3560.271114784182
1,0,inf
1,0,2329.7426582038174
1,0,3090.383127009352
1,0,3363.2855039897604
1,0,2671.425094191209
1,0,2748.7306585598535
1,0,2492.778544836302
1,0,inf
1,0,inf
1,0,3025.1823317126195
1,0,3928.0217470394487
1,0,3404.961975427577
1,0,3018.4756037541506
